"Ontology","Term"
"Biological Process","base-excision repair [GO:0006284]"
"Biological Process","base-excision repair, gap-filling [GO:0006287]"
"Biological Process","DNA metabolic process [GO:0006259]"
"Biological Process","DNA replication proofreading [GO:0045004]"
"Biological Process","DNA-templated DNA replication [GO:0006261]"
"Biological Process","mitochondrial DNA replication [GO:0006264]"
"Molecular Function","3'-5' exonuclease activity [GO:0008408]"
"Molecular Function","5'-deoxyribose-5-phosphate lyase activity [GO:0051575]"
"Molecular Function","chromatin binding [GO:0003682]"
"Molecular Function","DNA binding [GO:0003677]"
"Molecular Function","DNA-directed DNA polymerase activity [GO:0003887]"
"Molecular Function","protease binding [GO:0002020]"
"Molecular Function","single-stranded DNA 3'-5' DNA exonuclease activity [GO:0008310]"
"Cellular Component","gamma DNA polymerase complex [GO:0005760]"
"Cellular Component","mitochondrial chromosome [GO:0000262]"
"Cellular Component","mitochondrial matrix [GO:0005759]"
"Cellular Component","mitochondrial nucleoid [GO:0042645]"
"Cellular Component","mitochondrion [GO:0005739]"
"Cellular Component","protein-containing complex [GO:0032991]"
